2. AKIM,Güney Geliş,,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,2>1,2>2,2>3,2>4,105,34
,DÜZ,U,SOL,SAĞ,,
SABAH,,,,,,
07:00-07:15,142,1,43,0,,
07:15-07:30,197,2,43,1,,
07:30-07:45,208,1,94,0,,
07:45-08:00,264,4,130,0,,
08:00-08:15,257,1,125,0,,
08:15-08:30,270,5,136,0,,
08:30-08:45,241,5,128,0,,
,,,,,,
09:00-09:15,226,9,98,1,,
09:15-09:30,190,4,100,0,,
09:30-09:45,185,6,92,0,,
09:45-10:00,192,4,98,2,,
ÖĞLE,,,,,,
12:00-12:15,197,3,84,1,,
12:15-12:30,179,3,69,6,,
12:30-12:45,202,6,81,3,,
12:45-13:00,215,4,89,3,,
13:00-13:15,230,4,65,5,,
,,,,,,
13:30-13:45,201,7,83,4,,
13:45-14:00,208,1,91,2,,
AKŞAM,,,,,,
16:00-16:15,202,5,74,7,,
16:15-16:30,202,2,82,5,,
16:30-16:45,209,2,74,5,,
16:45-17:00,256,3,67,5,,
17:00-17:15,253,0,78,1,,
17:15-17:30,244,2,75,2,,
17:30-17:45,234,2,66,1,,
,,,,,,
,,,,,,
,,,,,,
18:30-18:45,323,0,43,1,,
18:45-19:00,297,1,42,0,,
19:00-19:15,238,2,49,0,,
19:15-19:30,202,2,47,2,,
19:30-19:45,162,1,36,0,,
19:45-20:00,145,1,34,0,,
