4. AKIM,Doğu Geliş,,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,4>1,4>2,4>3,4>4,105,33
,SAĞ,SOL,DÜZ,U,,
SABAH,,,,,,
07:00-07:15,13,8,41,0,,
07:15-07:30,34,8,60,0,,
07:30-07:45,24,9,83,1,,
07:45-08:00,25,13,111,0,,
08:00-08:15,18,23,128,0,,
08:15-08:30,19,13,127,0,,
08:30-08:45,23,36,143,0,,
,,,,,,
09:00-09:15,33,21,124,0,,
09:15-09:30,29,17,95,0,,
09:30-09:45,15,7,72,0,,
09:45-10:00,29,15,80,0,,
ÖĞLE,,,,,,
12:00-12:15,21,9,46,0,,
12:15-12:30,27,6,57,0,,
12:30-12:45,25,9,55,0,,
12:45-13:00,27,13,52,1,,
13:00-13:15,30,7,46,0,,
,,,,,,
13:30-13:45,24,12,70,0,,
13:45-14:00,27,18,64,0,,
AKŞAM,,,,,,
16:00-16:15,33,9,50,0,,
16:15-16:30,25,14,67,0,,
16:30-16:45,26,15,78,0,,
16:45-17:00,28,12,75,1,,
17:00-17:15,32,7,91,0,,
17:15-17:30,33,8,91,0,,
17:30-17:45,34,11,82,0,,
,,,,,,
,,,,,,
,,,,,,
18:30-18:45,40,8,76,0,,
18:45-19:00,36,5,50,0,,
19:00-19:15,29,4,62,0,,
19:15-19:30,23,7,41,0,,
19:30-19:45,19,5,34,0,,
19:45-20:00,24,6,32,0,,
