2. AKIM,Güney Geliş,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,2>1,2>2,2>3,49,23
,DÜZ,U,SAĞ,,
SABAH,,,,,
07:00-07:15,167,0,42,,
07:15-07:30,207,0,75,,
07:30-07:45,247,0,54,,
07:45-08:00,240,0,71,,
08:00-08:15,284,1,70,,
08:15-08:30,331,0,80,,
08:30-08:45,282,0,88,,
,,,,,
09:00-09:15,271,0,80,,
09:15-09:30,273,1,64,,
09:30-09:45,208,0,72,,
09:45-10:00,245,0,55,,
ÖĞLE,,,,,
12:00-12:15,224,0,60,,
12:15-12:30,201,1,63,,
12:30-12:45,197,1,79,,
12:45-13:00,243,0,95,,
13:00-13:15,229,0,79,,
,,,,,
13:30-13:45,240,0,61,,
13:45-14:00,246,0,69,,
AKŞAM,,,,,
16:00-16:15,235,0,68,,
16:15-16:30,248,0,95,,
16:30-16:45,246,0,110,,
16:45-17:00,286,0,114,,
17:00-17:15,329,0,133,,
17:15-17:30,305,0,115,,
17:30-17:45,290,0,142,,
,,,,,
,,,,,
,,,,,
18:30-18:45,337,0,206,,
18:45-19:00,317,0,221,,
19:00-19:15,252,1,164,,
19:15-19:30,216,0,121,,
19:30-19:45,188,0,70,,
19:45-20:00,178,0,80,,
