1. AKIM,Kuzey Geliş,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,1>1,1>2,1>3,105,74
,U,DÜZ,SOL,,
SABAH,,,,,
07:00-07:15,0,49,0,,
07:15-07:30,1,59,6,,
07:30-07:45,0,92,13,,
07:45-08:00,0,117,17,,
08:00-08:15,0,121,28,,
08:15-08:30,0,134,45,,
08:30-08:45,1,185,61,,
,,,,,
09:00-09:15,0,159,69,,
09:15-09:30,0,175,53,,
09:30-09:45,0,152,50,,
09:45-10:00,0,146,60,,
ÖĞLE,,,,,
12:00-12:15,2,131,62,,
12:15-12:30,3,138,56,,
12:30-12:45,2,155,64,,
12:45-13:00,4,165,47,,
13:00-13:15,2,161,56,,
,,,,,
13:30-13:45,3,170,53,,
13:45-14:00,4,166,62,,
AKŞAM,,,,,
16:00-16:15,0,168,56,,
16:15-16:30,2,216,48,,
16:30-16:45,0,201,52,,
16:45-17:00,1,238,71,,
17:00-17:15,1,227,46,,
17:15-17:30,2,204,59,,
17:30-17:45,0,205,77,,
,,,,,
,,,,,
,,,,,
18:30-18:45,1,247,101,,
18:45-19:00,0,243,70,,
19:00-19:15,1,246,58,,
19:15-19:30,1,174,23,,
19:30-19:45,0,130,16,,
19:45-20:00,0,114,12,,
