3. AKIM,Doğu Geliş,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,3>1,3>2,3>3,49,14
,SAĞ,SOL,U,,
SABAH,,,,,
07:00-07:15,56,47,0,,
07:15-07:30,114,93,0,,
07:30-07:45,123,95,2,,
07:45-08:00,138,131,0,,
08:00-08:15,158,131,1,,
08:15-08:30,168,158,0,,
08:30-08:45,190,158,0,,
,,,,,
09:00-09:15,138,125,0,,
09:15-09:30,134,79,1,,
09:30-09:45,78,76,0,,
09:45-10:00,69,56,0,,
ÖĞLE,,,,,
12:00-12:15,57,62,0,,
12:15-12:30,46,46,2,,
12:30-12:45,63,52,1,,
12:45-13:00,69,53,2,,
13:00-13:15,85,71,0,,
,,,,,
13:30-13:45,84,55,0,,
13:45-14:00,84,53,0,,
AKŞAM,,,,,
16:00-16:15,73,78,0,,
16:15-16:30,71,74,0,,
16:30-16:45,118,80,0,,
16:45-17:00,83,80,2,,
17:00-17:15,116,72,0,,
17:15-17:30,132,67,0,,
17:30-17:45,82,75,0,,
,,,,,
,,,,,
,,,,,
18:30-18:45,81,53,1,,
18:45-19:00,82,72,0,,
19:00-19:15,81,71,1,,
19:15-19:30,84,45,2,,
19:30-19:45,72,56,0,,
19:45-20:00,75,32,0,,
