1. AKIM,Batı Geliş,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,1>1,1>2,1>3,105,74
,U,DÜZ,SOL,,
SABAH,,,,,
07:00-07:15,0,43,0,,
07:15-07:30,0,74,5,,
07:30-07:45,0,117,2,,
07:45-08:00,0,159,9,,
08:00-08:15,1,190,9,,
08:15-08:30,0,187,19,,
08:30-08:45,0,267,28,,
,,,,,
09:00-09:15,3,231,39,,
09:15-09:30,3,243,40,,
09:30-09:45,4,201,33,,
09:45-10:00,6,184,40,,
ÖĞLE,,,,,
12:00-12:15,4,182,35,,
12:15-12:30,2,170,28,,
12:30-12:45,8,193,32,,
12:45-13:00,6,201,15,,
13:00-13:15,1,176,35,,
,,,,,
13:30-13:45,6,168,33,,
13:45-14:00,10,199,47,,
AKŞAM,,,,,
16:00-16:15,5,210,32,,
16:15-16:30,4,234,33,,
16:30-16:45,4,230,25,,
16:45-17:00,5,247,20,,
17:00-17:15,3,236,13,,
17:15-17:30,8,247,12,,
17:30-17:45,4,240,20,,
,,,,,
,,,,,
,,,,,
18:30-18:45,7,241,19,,
18:45-19:00,2,259,16,,
19:00-19:15,8,265,10,,
19:15-19:30,2,171,4,,
19:30-19:45,3,124,5,,
19:45-20:00,4,119,2,,
