3. AKIM,Doğu Geliş,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,3>1,3>2,3>3,105,23
,SAĞ,SOL,U,,
SABAH,,,,,
07:00-07:15,10,10,0,,
07:15-07:30,31,24,1,,
07:30-07:45,49,41,4,,
07:45-08:00,85,65,4,,
08:00-08:15,83,54,3,,
08:15-08:30,127,63,0,,
08:30-08:45,132,53,3,,
,,,,,
09:00-09:15,124,72,3,,
09:15-09:30,111,55,1,,
09:30-09:45,99,62,3,,
09:45-10:00,100,42,2,,
ÖĞLE,,,,,
12:00-12:15,102,45,8,,
12:15-12:30,112,32,3,,
12:30-12:45,123,42,7,,
12:45-13:00,96,34,8,,
13:00-13:15,119,36,4,,
,,,,,
13:30-13:45,116,42,5,,
13:45-14:00,117,50,4,,
AKŞAM,,,,,
16:00-16:15,114,36,5,,
16:15-16:30,80,39,8,,
16:30-16:45,103,31,8,,
16:45-17:00,82,23,5,,
17:00-17:15,84,48,8,,
17:15-17:30,90,36,4,,
17:30-17:45,80,37,11,,
,,,,,
,,,,,
,,,,,
18:30-18:45,53,26,2,,
18:45-19:00,41,33,3,,
19:00-19:15,26,21,1,,
19:15-19:30,28,22,3,,
19:30-19:45,33,28,0,,
19:45-20:00,25,14,0,,
