1. AKIM,Kuzey Geliş,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,1>1,1>2,1>3,49,26
,U,DÜZ,SOL,,
SABAH,,,,,
07:00-07:15,2,186,34,,
07:15-07:30,0,234,47,,
07:30-07:45,7,266,46,,
07:45-08:00,0,235,63,,
08:00-08:15,1,262,83,,
08:15-08:30,1,234,88,,
08:30-08:45,2,202,96,,
,,,,,
09:00-09:15,3,204,105,,
09:15-09:30,1,213,102,,
09:30-09:45,2,197,78,,
09:45-10:00,5,182,65,,
ÖĞLE,,,,,
12:00-12:15,2,200,58,,
12:15-12:30,7,174,69,,
12:30-12:45,11,150,68,,
12:45-13:00,2,181,77,,
13:00-13:15,1,157,76,,
,,,,,
13:30-13:45,0,211,72,,
13:45-14:00,5,214,74,,
AKŞAM,,,,,
16:00-16:15,6,232,98,,
16:15-16:30,3,233,119,,
16:30-16:45,4,229,134,,
16:45-17:00,5,223,129,,
17:00-17:15,3,214,130,,
17:15-17:30,1,161,116,,
17:30-17:45,2,162,140,,
,,,,,
,,,,,
,,,,,
18:30-18:45,4,167,134,,
18:45-19:00,6,192,142,,
19:00-19:15,4,182,151,,
19:15-19:30,7,217,143,,
19:30-19:45,3,177,111,,
19:45-20:00,4,176,114,,
