1. AKIM,Kuzey Geliş,,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,1>1,1>2,1>3,1>4,105,34
,U,DÜZ,SAĞ,SOL,,
SABAH,TOPLAM,TOPLAM,TOPLAM,TOPLAM,,
07:00-07:15,0,37,14,3,,
07:15-07:30,0,68,20,2,,
07:30-07:45,0,69,43,9,,
07:45-08:00,0,90,62,13,,
08:00-08:15,0,118,54,14,,
08:15-08:30,4,121,57,15,,
08:30-08:45,1,166,55,32,,
,,,,,,
09:00-09:15,3,139,56,30,,
09:15-09:30,5,150,51,31,,
09:30-09:45,3,166,34,26,,
09:45-10:00,5,140,31,32,,
ÖĞLE,,,,,,
12:00-12:15,1,118,36,24,,
12:15-12:30,6,109,27,17,,
12:30-12:45,9,139,34,29,,
12:45-13:00,3,129,31,23,,
13:00-13:15,10,134,38,30,,
,,,,,,
13:30-13:45,8,119,44,28,,
13:45-14:00,9,156,31,32,,
AKŞAM,,,,,,
16:00-16:15,0,160,29,21,,
16:15-16:30,4,180,32,23,,
16:30-16:45,2,187,23,25,,
16:45-17:00,2,207,30,26,,
17:00-17:15,2,228,27,25,,
17:15-17:30,2,203,30,16,,
17:30-17:45,2,211,28,10,,
,,,,,,
,,,,,,
,,,,,,
18:30-18:45,7,233,38,17,,
18:45-19:00,4,240,18,3,,
19:00-19:15,2,259,14,9,,
19:15-19:30,0,166,7,6,,
19:30-19:45,0,132,9,1,,
19:45-20:00,0,118,7,2,,
