2. AKIM,Güney Geliş,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,2>1,2>2,2>3,105,53
,DÜZ,U,SAĞ,,
SABAH,TOPLAM,TOPLAM,TOPLAM,,
07:00-07:15,106,0,3,,
07:15-07:30,120,0,0,,
07:30-07:45,191,0,2,,
07:45-08:00,219,1,8,,
08:00-08:15,272,0,12,,
08:15-08:30,250,0,10,,
08:30-08:45,299,0,11,,
,,,,,
09:00-09:15,278,0,15,,
09:15-09:30,232,0,13,,
09:30-09:45,199,0,22,,
09:45-10:00,218,0,19,,
ÖĞLE,,,,,
12:00-12:15,165,0,7,,
12:15-12:30,147,0,17,,
12:30-12:45,166,1,23,,
12:45-13:00,180,0,11,,
13:00-13:15,153,0,9,,
,,,,,
13:30-13:45,173,0,10,,
13:45-14:00,186,0,19,,
AKŞAM,,,,,
16:00-16:15,176,0,22,,
16:15-16:30,195,0,14,,
16:30-16:45,197,0,14,,
16:45-17:00,199,0,16,,
17:00-17:15,199,0,13,,
17:15-17:30,204,1,12,,
17:30-17:45,221,0,10,,
,,,,,
,,,,,
,,,,,
18:30-18:45,193,1,17,,
18:45-19:00,150,1,6,,
19:00-19:15,148,0,8,,
19:15-19:30,132,0,3,,
19:30-19:45,81,0,0,,
19:45-20:00,76,0,2,,
