3. AKIM,Batı Geliş,,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,3>1,3>2,3>3,3>4,105,13
,SOL,SAĞ,U,DÜZ,,
SABAH,,,,,,
07:00-07:15,3,0,0,1,,
07:15-07:30,5,2,0,0,,
07:30-07:45,2,2,0,2,,
07:45-08:00,3,4,0,2,,
08:00-08:15,5,7,0,6,,
08:15-08:30,15,17,0,12,,
08:30-08:45,11,8,0,9,,
,,,,,,
09:00-09:15,11,16,0,26,,
09:15-09:30,12,18,0,20,,
09:30-09:45,17,24,0,21,,
09:45-10:00,16,22,0,25,,
ÖĞLE,,,,,,
12:00-12:15,9,19,0,17,,
12:15-12:30,13,20,1,17,,
12:30-12:45,14,24,0,26,,
12:45-13:00,20,28,0,24,,
13:00-13:15,23,30,0,31,,
,,,,,,
13:30-13:45,20,22,0,34,,
13:45-14:00,27,25,0,31,,
AKŞAM,,,,,,
16:00-16:15,42,23,0,19,,
16:15-16:30,21,29,0,32,,
16:30-16:45,22,18,0,32,,
16:45-17:00,21,34,0,32,,
17:00-17:15,19,38,0,27,,
17:15-17:30,18,36,2,23,,
17:30-17:45,39,48,0,24,,
,,,,,,
,,,,,,
,,,,,,
18:30-18:45,24,80,0,16,,
18:45-19:00,16,41,0,14,,
19:00-19:15,17,61,0,2,,
19:15-19:30,7,12,0,1,,
19:30-19:45,5,5,0,2,,
19:45-20:00,0,7,0,2,,
